date,type,address,city,zip,price,beds,baths,neighborhood,sqft,lotsize,year,hoa,url,mls,latitude,longitude
September-18-2019,condo,355 Concord Ave Unit B,Cambridge,02138,1225000,4,2,Cambridge,1669,,1922,224,http://www.redfin.com/MA/Cambridge/355-Concord-Ave-02138/unit-B/home/11549921,72539272,42.3850132,-71.136241
September-18-2019,singlefamily,39-C Bellis Cir,Cambridge,02140,1099000,3,2,North Cambridge,1622,1579,1988,50,http://www.redfin.com/MA/Cambridge/39C-Bellis-Cir-02140/home/164580811,72491694,42.3905609,-71.1343451
September-18-2019,singlefamily,6 Michael Way,Cambridge,02141,1080000,2,1.5,Cambridge,1296,3336,1983,,http://www.redfin.com/MA/Cambridge/6-Michael-Way-02141/home/11554791,72549751,42.3697794,-71.0890768
September-19-2019,condo,12 Houghton St #2,Somerville,02143,650000,2,1,Inman Square,956,,1920,135,http://www.redfin.com/MA/Somerville/12-Houghton-St-02143/unit-2/home/8755315,72549727,42.3744901,-71.0982071
September-19-2019,condo,118 Pleasant St #1,Cambridge,02139,815000,2,1,Cambridgeport,1017,,1894,199,http://www.redfin.com/MA/Cambridge/118-Pleasant-St-02139/unit-1/home/35657590,72542827,42.3609896,-71.1115455
September-20-2019,condo,37 Lee St #3,Cambridge,02139,735000,2,1,Cambridge,1052,,1901,668,http://www.redfin.com/MA/Cambridge/37-Lee-St-02139/unit-3/home/11565958,72546061,42.3697002,-71.1061235
September-20-2019,condo,104 Pleasant St #2,Cambridge,02139,640000,2,1,Cambridgeport,857,,1905,225,http://www.redfin.com/MA/Cambridge/104-Pleasant-St-02139/unit-2/home/11560563,72549765,42.3614608,-71.1110253
September-20-2019,condo,85 Clifton St #1,Cambridge,02140,658000,2,1,North Cambridge,1017,,1912,175,http://www.redfin.com/MA/Cambridge/85-Clifton-St-02140/unit-1/home/11378143,72542408,42.3960782,-71.1360235
September-23-2019,townhouse,331 Beacon St #1,Somerville,02143,798000,3,2.5,Somerville,1430,,1910,125,http://www.redfin.com/MA/Somerville/331-Beacon-St-02143/unit-1/home/12389672,72531145,42.3850445,-71.114369
September-3-2019,condo,950 Massachusetts Ave #617,Cambridge,02139,625500,1,1,Harvard Square,603,,1989,641,http://www.redfin.com/MA/Cambridge/950-Massachusetts-Ave-02139/unit-617/home/11567389,72539765,42.3687316,-71.109958
September-3-2019,condo,8-12 Museum Way #707,Cambridge,02141,605000,1,1,Cambridge,663,,1998,603,http://www.redfin.com/MA/Cambridge/8-Museum-Way-02141/unit-707/home/11602065,72527905,42.3700991,-71.0716742
September-3-2019,condo,28 Foch St #2,Cambridge,02140,519000,2,2,North Cambridge,944,,1892,258,http://www.redfin.com/MA/Cambridge/28-Foch-St-02140/unit-2/home/11602496,72501306,42.401436,-71.1352546
September-3-2019,condo,47 Homer Ave Unit 2-4,Cambridge,02138,468000,2,1,West Cambridge,860,,1970,379,http://www.redfin.com/MA/Cambridge/47-Homer-Ave-02138/unit-2-4/home/11595281,72487811,42.3765122,-71.1479656
September-3-2019,condo,24 Bay State Rd #14,Cambridge,02138,590000,1,1,West Cambridge,783,,2006,388,http://www.redfin.com/MA/Cambridge/24-Bay-State-Rd-02138/unit-14/home/21472363,72507464,42.3871284,-71.1399835
September-3-2019,condo,321 Harvard St #103,Cambridge,02139,780000,2,1.5,Harvard Square,823,,1980,441,http://www.redfin.com/MA/Cambridge/321-Harvard-St-02139/unit-103/home/11564758,72543122,42.3704201,-71.1073621
September-3-2019,singlefamily,7 Chauncy Ln,Cambridge,02138,1500000,3,2.5,Harvard Square,2142,1236,1968,,http://www.redfin.com/MA/Cambridge/7-Chauncy-Ln-02138/home/11577028,72491063,42.3799308,-71.12235
September-4-2019,condo,170 Gore St #518,Cambridge,02141,527518,1,1,Cambridge,623,,1986,456,http://www.redfin.com/MA/Cambridge/170-Gore-St-02141/unit-518/home/11554109,72521942,42.3725806,-71.0856258
September-4-2019,condo,130 Mount Auburn St #509,Cambridge,02138,2750000,3,2,Harvard Square,1384,,1985,1328,http://www.redfin.com/MA/Cambridge/130-Mt-Auburn-St-02138/unit-509/home/11575521,72515728,42.3730727,-71.1242535
September-4-2019,condo,950 Massachusetts Ave #513,Cambridge,02139,1200000,2,2,Cambridge,1022,,1989,812,http://www.redfin.com/MA/Cambridge/950-Massachusetts-Ave-02139/unit-513/home/11567329,72514711,42.3687316,-71.109958
September-5-2019,condo,67 Walker St #2,Cambridge,02138,568500,1,1,Harvard Square,561,,1847,389,http://www.redfin.com/MA/Cambridge/67-Walker-St-02138/unit-2/home/138228743,72530498,42.38055,-71.1224525
September-5-2019,condo,180 Magazine St Unit 2nd,Cambridge,02139,1000000,3,1.5,Cambridgeport,1303,,1916,362,http://www.redfin.com/MA/Cambridge/180-Magazine-St-02139/unit-2nd/home/167048439,72515825,42.3571725,-71.1128917
September-5-2019,singlefamily,14 Lopez Ave,Cambridge,02141,1325000,4,6,Kendall Square,3672,3053,1902,,http://www.redfin.com/MA/Cambridge/14-Lopez-Ave-02141/home/11551661,72502844,42.3685554,-71.0795598
September-6-2019,condo,64 Prentiss St #2,Cambridge,02140,696000,3,2,Cambridge,827,,1903,250,http://www.redfin.com/MA/Cambridge/64-Prentiss-St-02140/unit-2/home/11573884,72536000,42.3840027,-71.115481
September-6-2019,condo,10 Rogers #301,Cambridge,02142,1090000,2,2,East Cambridge,1117,,1989,812,http://www.redfin.com/MA/Cambridge/10-Rogers-St-02142/unit-301/home/11550625,72549109,42.3656783,-71.0772268
September-6-2019,condo,30 Myrtle Ave #30,Cambridge,02138,890000,2,2,Cambridge,1365,,1894,,http://www.redfin.com/MA/Cambridge/30-Myrtle-Ave-02138/unit-30/home/167047350,72513890,42.3774154,-71.1071068
September-9-2019,singlefamily,7 Cornelius Way,Cambridge,02141,1168000,3,2,Wellington-Harrington,1296,3025,1984,,http://www.redfin.com/MA/Cambridge/7-Cornelius-Way-02141/home/11554723,72537574,42.368832,-71.089813
September-9-2019,townhouse,12 Perry St #2,Cambridge,02139,1275000,2,2.5,Cambridgeport,1529,,2004,333,http://www.redfin.com/MA/Cambridge/12-Perry-St-02139/unit-2/home/167928764,72539914,42.3618984,-71.1068569
